match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,labellabel,avg_performane_of_main_home_players,avg_performane_of_all_home_players,avg_performane_of_main_away_players,avg_performane_of_all_away_players
836344,9761,8526,2,0,Win,69.85748575985419,67.58342167027082,67.63921546192847,65.82691384860158
836346,8640,8611,0,1,Defeat,76.52951349721964,74.19795434021957,76.39814393520655,72.80021180339442
836349,10218,10228,0,2,Defeat,68.73573967598735,66.21216554864176,72.02944444444444,69.28383838383837
836351,9791,8593,1,4,Defeat,68.43493589743589,67.23894103810112,78.78611111111113,75.15960579824217
836352,9803,8525,2,2,Draw,70.29520147713696,67.82322849359429,66.18841269841269,64.69410774410775
836354,10229,10235,2,1,Win,74.49509835194047,72.34376568142119,73.48404958305161,70.62462904235723
836357,10217,9908,1,0,Win,68.9584348864994,67.4160011651214,74.14310093536228,70.4038732288316
836364,8611,10218,2,1,Win,75.65940154169742,71.90378624752614,68.51034285059053,65.9842533093659
836367,8674,9761,2,1,Win,72.81089838072167,69.8561547427313,70.0853295629102,67.93459469079868
836368,10228,9791,3,2,Win,72.44194444444443,69.21679292929292,68.27689393939394,66.58101563017571
836373,8593,10217,0,1,Defeat,78.78611111111113,75.22021185884822,68.9584348864994,67.4160011651214
836375,9908,8640,1,2,Defeat,73.8831009353623,70.04283426779263,76.52951349721964,73.8817008966934
836376,8277,10229,1,1,Draw,73.08126984126984,69.76336404336404,74.80849548112705,73.04967818996526
836378,10235,9803,1,1,Draw,74.18060130718955,70.94124346241993,70.29520147713696,67.97671389707969
836381,9791,8674,3,0,Win,68.27689393939394,66.58101563017571,72.86301959284287,69.73843206137225
836383,8640,10218,4,2,Win,76.52951349721964,74.57674221900744,68.51034285059053,65.9842533093659
836386,9761,8611,2,1,Win,69.99132034632035,67.34316193001108,76.39814393520655,72.83982219300482
836388,8525,8526,0,1,Defeat,66.19757936507936,64.13117484367484,67.63921546192847,65.94704371873145
836391,9803,9908,1,1,Draw,70.29520147713696,67.86482578519157,72.98223886639676,69.3064452283183
836393,8464,10217,1,1,Draw,71.7038141025641,68.61443498534018,69.26676821983273,67.5561526802729
836394,9839,8277,1,5,Defeat,71.45151222651222,68.10325147825148,73.08126984126984,69.58945900103795
836396,10235,10228,2,2,Draw,74.18060130718955,70.94124346241993,71.0611111111111,68.52929292929292
836398,10229,8593,2,0,Win,75.02278119541279,72.83603089449979,79.63974747474748,75.93095566050111
836403,8526,9803,3,1,Win,67.63921546192847,65.28578830747604,70.0185348104703,67.2848835052493
836405,10218,9839,1,0,Win,68.73573967598735,66.21216554864176,70.4411172161172,67.25353812853812
836407,8611,10229,1,2,Defeat,76.39814393520655,72.83982219300482,74.72909698488645,72.06114798014319
836411,8593,8640,0,0,Draw,79.10388888888889,75.81410533910534,76.52951349721964,74.032297774563
836412,8674,10235,2,0,Win,72.86301959284287,69.64519196813215,74.18060130718955,71.2016164227929
836413,10217,9761,3,0,Win,69.26676821983273,67.5561526802729,69.64707792207793,67.34936752664728
836415,10228,8525,5,0,Win,70.92944444444444,68.3925849403122,66.5795238095238,64.90462361712362
836427,9761,8640,4,2,Win,69.87183982683983,68.19341514569491,76.52951349721964,74.032297774563
836428,8525,10218,1,1,Draw,66.04202380952381,63.943043530543534,68.73573967598735,66.21216554864176
836430,9803,8674,1,0,Win,70.29520147713696,68.17776284812864,72.86301959284287,69.79140938707685
836432,10229,10228,2,2,Draw,75.02278119541279,73.00225591527027,71.0611111111111,68.52929292929292
836435,8464,8611,2,4,Defeat,71.37004217273955,68.19514594105114,74.8708830231789,71.67097687710067
836445,10235,10217,2,1,Win,73.12949019607842,70.70941670332046,69.26676821983273,67.5561526802729
836446,9839,8593,0,2,Defeat,66.69366666666667,64.87241258741258,78.01252525252525,75.2656500065591
836448,9791,9908,2,1,Win,68.43493589743589,67.23894103810112,73.8831009353623,70.11870576471676
